epoch,layer,unit,label,score,category
0,layer4,222,grass,0.14966909721211077,object
0,layer4,420,grooved,0.11765038286593654,texture
0,layer4,225,zigzagged,0.11108985193868334,texture
0,layer4,134,water,0.10340733376088065,object
0,layer4,504,grid,0.09606240906840213,texture
0,layer4,511,water,0.09571505233311517,object
0,layer4,62,zigzagged,0.0954285383052142,texture
0,layer4,424,grooved,0.09501851572777499,texture
0,layer4,228,skyscraper-s,0.09317701844676043,scene
0,layer4,331,road,0.09174603499101432,object
0,layer4,457,grooved,0.0913936270873738,texture
0,layer4,123,wheel,0.08800958160511894,part
0,layer4,174,zigzagged,0.0869880514202324,texture
0,layer4,19,cracked,0.0828374049871069,texture
0,layer4,493,grid,0.08238735698471289,texture
0,layer4,198,grooved,0.08072122081834902,texture
0,layer4,124,grooved,0.08058153653603341,texture
0,layer4,375,highway-s,0.078258781059973,scene
0,layer4,74,grooved,0.07725077190732085,texture
0,layer4,372,highway-s,0.07650944878863558,scene
0,layer4,57,water,0.0764688415382073,object
0,layer4,152,grooved,0.07435159385660947,texture
0,layer4,77,grooved,0.07342157878362783,texture
0,layer4,427,water,0.07112964743593789,object
0,layer4,340,banded,0.07067277316399748,texture
0,layer4,489,grooved,0.07063720325474529,texture
0,layer4,196,water,0.06994347284249393,object
0,layer4,71,striped,0.06826361311792631,texture
0,layer4,415,grooved,0.06799333788919823,texture
0,layer4,47,grid,0.06791422543468263,texture
0,layer4,393,skyscraper-s,0.06608358138596328,scene
0,layer4,383,grooved,0.06592477917164925,texture
0,layer4,255,grooved,0.06585436995633043,texture
0,layer4,312,screen,0.06576131387942727,part
0,layer4,167,road,0.0657090052228962,object
0,layer4,373,wheel,0.06503914638449902,part
0,layer4,115,zigzagged,0.06496937377941199,texture
0,layer4,354,frilly,0.06456507437981453,texture
0,layer4,322,airplane,0.06448924701199663,object
0,layer4,164,grid,0.0637228943473597,texture
0,layer4,129,beach-s,0.06286028787784306,scene
0,layer4,477,wheel,0.062371938672274765,part
0,layer4,447,bed,0.06148051139664295,object
0,layer4,44,grooved,0.06069582887279478,texture
0,layer4,140,bed,0.06045251764115054,object
0,layer4,499,water,0.06029345772274435,object
0,layer4,266,grooved,0.06017271270410318,texture
0,layer4,334,highway-s,0.059979289213081204,scene
0,layer4,397,porous,0.059761943311204165,texture
0,layer4,287,wheel,0.059536744276975945,part
0,layer4,370,potholed,0.05933261146271138,texture
0,layer4,25,grooved,0.059049683937103456,texture
0,layer4,300,porous,0.059027062973457466,texture
0,layer4,374,water,0.05884188071460069,object
0,layer4,502,highway-s,0.05822465101044575,scene
0,layer4,186,highway-s,0.05816854373491283,scene
0,layer4,438,bathroom-s,0.05801347162415186,scene
0,layer4,24,airplane,0.0580002964223732,object
0,layer4,190,road,0.057333865338354585,object
0,layer4,214,meshed,0.05728034556144262,texture
